item_id,name,time,sell,buy,lowest_sell,highest_buy
11309200006,MK5 Medium Capacitor Battery,2021-06-22T04:00:00+00:00,236000.0,83500.0,124500.0,133462.0
11309200008,MK7 Medium Capacitor Battery,2021-06-22T04:00:00+00:00,496000.0,86200.0,241889.0,241889.0
11309200010,MK9 Medium Capacitor Battery,2021-06-22T04:00:00+00:00,786000.0,365000.0,439000.0,369031.0
11309200012,'Acolyth' Medium Capacitor Battery ,2021-06-22T04:00:00+00:00,870000.0,348000.0,499000.0,532730.0
11309200013,Republic Fleet Medium Capacitor Battery,2021-06-22T04:00:00+00:00,2100000.0,597000.0,1600000.0,710767.0
11309200017,Domination Medium Capacitor Battery,2021-05-24T13:00:00+00:00,,4300000.0,,4298324.0
11309200021,'Demolish' Medium Capacitor Battery ,2021-06-19T17:00:00+00:00,,90000.0,,90001.0
11309200024,Gistum C-Type Medium Capacitor Battery,2021-06-22T04:00:00+00:00,9100000.0,5110000.0,6660000.0,9050569.0
11309300010,MK9 Large Capacitor Battery,2021-06-22T04:00:00+00:00,2130000.0,239000.0,1600000.0,1483856.0
11309300012,'Acolyth' Large Capacitor Batteries,2021-06-22T04:00:00+00:00,2920000.0,2330000.0,2179999.0,2369365.0
11309300013,Republic Fleet Large Capacitor Battery,2021-06-22T04:00:00+00:00,16000000.0,5590000.0,14000000.0,17067080.0
11309300017,Domination Large Capacitor Battery,2020-12-02T05:00:00+00:00,,500000.0,,500000.0
11309300021,'Demolish' Large Capacitor Battery ,2021-06-08T09:00:00+00:00,,55000000.0,,55000000.0
11309300024,Gist C-Type Large Capacitor Battery,2021-06-22T04:00:00+00:00,63300000.0,23400000.0,50999999.0,30000000.0
11311000001,Civilian Stasis Webifier,2021-06-22T04:00:00+00:00,12000.0,1.0,12000.0,
11311000004,MK3 Stasis Webifier,2021-06-22T04:00:00+00:00,125000.0,25700.0,87000.0,99275.0
11311000006,MK5 Stasis Webifier,2021-06-22T04:00:00+00:00,253000.0,37900.0,230805.0,220109.0
11311000008,MK7 Stasis Webifier,2021-06-22T04:00:00+00:00,188000.0,100000.0,80000.0,100457.0
11311000010,MK9 Stasis Webifier,2021-06-22T04:00:00+00:00,298000.0,125000.0,175420.0,147056.0
11311000012,'Interruptive' Stasis Webifier,2021-06-22T04:00:00+00:00,408000.0,283000.0,259000.0,285693.0
11311000013,Caldari Navy Stasis Webifier,2021-06-22T04:00:00+00:00,1080000.0,412000.0,800000.0,1039197.0
11311000014,Federation Navy Stasis Webifier,2021-06-22T04:00:00+00:00,1060000.0,306000.0,800000.0,977369.0
11311000015,Republic Fleet Stasis Webifier,2021-06-22T04:00:00+00:00,1380000.0,113000.0,939000.0,1626198.0
11311000017,True Sansha Stasis Webifier,2021-06-09T05:00:00+00:00,,2370000.0,,2374115.0
11311000018,Dark Blood Stasis Webifier,2021-03-17T06:00:00+00:00,,250000.0,,250000.0
11311000019,Dread Guristas Stasis Webifier,2021-02-23T21:00:00+00:00,,2500000.0,,2500000.0
11311000020,Shadow Serpentis Stasis Webifier,2021-05-31T21:00:00+00:00,,2370000.0,,2374115.0
11311000021,'Predator' Stasis Webifier ,2021-06-22T04:00:00+00:00,87600000.0,66400000.0,79900000.0,90544152.0
11313400006,MK5 Adaptive Invulnerability Field,2021-06-22T04:00:00+00:00,88400.0,24700.0,38000.0,68785.0
11313400008,MK7 Adaptive Invulnerability Field,2021-06-22T04:00:00+00:00,436000.0,102000.0,100000.0,144436.0
11313400010,MK9 Adaptive Invulnerability Field,2021-06-22T04:00:00+00:00,324000.0,173000.0,200000.0,231638.0
11313400012,Posse Adaptive Invulnerability Field,2021-06-22T04:00:00+00:00,518000.0,301000.0,300000.0,308391.0
11313400013,Caldari Navy Adaptive Invulnerability Field,2021-06-22T04:00:00+00:00,720000.0,270000.0,480000.0,365022.0
11313400017,Dread Guristas Adaptive Invulnerability Field,2021-05-26T04:00:00+00:00,,889000.0,,888777.0
11313400018,Domination Adaptive Invulnerability Field,2021-05-24T13:00:00+00:00,,2590000.0,,2589592.0
11313400021,'Enterprise' Adaptive Invulnerability Field ,2021-06-22T04:00:00+00:00,6230000.0,2480000.0,6000000.0,6752821.0
11313400024,Pith C-Type Adaptive Invulnerability Field,2021-06-22T04:00:00+00:00,7910000.0,4320000.0,4990000.0,6576575.0
11313400025,Gist C-Type Adaptive Invulnerability Field,2021-06-22T04:00:00+00:00,12200000.0,476000.0,5879990.0,8330058.0
11319000004,MK3 Sensor Dampener,2021-06-22T04:00:00+00:00,26500.0,9950.0,13900.0,10000.0
11319000006,MK5 Sensor Dampener,2021-06-22T04:00:00+00:00,63400.0,27200.0,30649.0,30649.0
11319000008,MK7 Sensor Dampener,2021-06-22T04:00:00+00:00,116000.0,28400.0,68000.0,54790.0
11319000010,MK9 Sensor Dampener,2021-06-22T04:00:00+00:00,189000.0,41900.0,100000.0,65000.0
11319000012,'Smoke' Sensor Dampener,2021-06-22T04:00:00+00:00,365000.0,187000.0,175000.0,277338.0
11319000013,Federation Navy Sensor Dampener,2021-06-22T04:00:00+00:00,330000.0,11200.0,148000.0,160323.0
11319000017,Shadow Serpentis Sensor Dampener,2021-03-02T15:00:00+00:00,,2370000.0,,2374115.0
11319000021,'Code Cracker' Sensor Dampener,2021-06-22T04:00:00+00:00,,333000.0,,333333.0
11322000006,MK5 Tracking Computer,2021-06-22T04:00:00+00:00,258000.0,80000.0,120000.0,140839.0
11322000008,MK7 Tracking Computer,2021-06-22T04:00:00+00:00,281000.0,42300.0,230000.0,252754.0
11322000010,MK9 Tracking Computer,2021-06-22T04:00:00+00:00,1280000.0,350000.0,400000.0,350076.0
11322000012,'Marketeer' Tracking Computer,2021-06-22T04:00:00+00:00,1030000.0,478000.0,575000.0,712331.0
11322000013,Federation Navy Tracking Computer,2021-06-22T04:00:00+00:00,5030000.0,1700000.0,3900000.0,5095766.0
11322000017,Shadow Serpentis Tracking Computer,2021-05-29T18:00:00+00:00,,5370000.0,,5372905.0
11322000021,'Eagle' Tracking Computer ,2021-06-22T04:00:00+00:00,60500000.0,39700000.0,51999999.0,59082917.0
11330000004,MK3 Target Painter,2021-06-22T04:00:00+00:00,23600.0,9940.0,14999.0,10000.0
11330000006,MK5 Target Painter,2021-06-22T04:00:00+00:00,88500.0,42700.0,39995.0,43100.0
11330000008,MK7 Target Painter,2021-06-22T04:00:00+00:00,119000.0,77100.0,100000.0,105801.0
11330000010,MK9 Target Painter,2021-06-22T04:00:00+00:00,258000.0,144000.0,109000.0,169925.0
11330000012,'Guide' Target Painter,2021-06-22T04:00:00+00:00,477000.0,295000.0,380000.0,326753.0
11330000013,Republic Fleet Target Painter,2021-06-22T04:00:00+00:00,1210000.0,155000.0,980000.0,1811776.0
11330000017,Domination Target Painter,2021-06-22T04:00:00+00:00,,100000.0,,100000.0
11330000021,'Halley' Target Painter,2021-06-22T04:00:00+00:00,,11100000.0,,11111111.0
11333000006,MK5 Drone Navigation Computer,2021-06-22T04:00:00+00:00,221000.0,3010.0,149999.0,3006.0
11333000008,MK7 Drone Navigation Computer,2021-06-22T04:00:00+00:00,300000.0,120000.0,270000.0,120000.0
11333000010,MK9 Drone Navigation Computer,2021-06-22T04:00:00+00:00,1330000.0,51300.0,500000.0,150000.0
11333000012,'Decoder' Drone Navigation Computer ,2021-06-22T04:00:00+00:00,1300000.0,334000.0,545000.0,685847.0
11333000013,Federation Navy Drone Navigation Computer,2021-06-22T04:00:00+00:00,674000.0,73900.0,400000.0,80000.0
11333000021,'Supervisor' Drone Navigation Computer ,2021-06-22T04:00:00+00:00,5450000.0,62400.0,4199999.0,401993.0
11334000006,MK5 Omnidirectional Tracking Link,2021-06-22T04:00:00+00:00,174000.0,75000.0,165000.0,75001.0
11334000008,MK7 Omnidirectional Tracking Link,2021-06-22T04:00:00+00:00,399000.0,3000.0,290000.0,3005.0
11334000010,MK9 Omnidirectional Tracking Link,2021-06-22T04:00:00+00:00,499000.0,150000.0,444444.0,150000.0
11334000012,'Decoder' Omnidirectional Tracking Link ,2021-06-22T04:00:00+00:00,1070000.0,265000.0,600000.0,664463.0
11334000013,Imperial Navy Omnidirectional Tracking Link,2021-06-22T04:00:00+00:00,310000.0,36800.0,145000.0,116011.0
11334000014,Federation Navy Omnidirectional Tracking Link,2021-06-22T04:00:00+00:00,209000.0,30300.0,100000.0,125510.0
11334000018,Sentient Omnidirectional Tracking Link ,2021-04-04T01:00:00+00:00,,5370000.0,,5372905.0
11334000021,'Supervisor' Omnidirectional Tracking Link ,2021-06-22T04:00:00+00:00,1600000.0,1030000.0,1100000.0,1276348.0
11340000006,MK5 Missile Guidance Computer,2021-06-22T04:00:00+00:00,329000.0,60000.0,98000.0,139494.0
11340000008,MK7 Missile Guidance Computer,2021-06-22T04:00:00+00:00,841000.0,89100.0,265000.0,268028.0
11340000010,MK9 Missile Guidance Computer,2021-06-22T04:00:00+00:00,907000.0,108000.0,250000.0,108258.0
11340000012,'Elusive' Missile Guidance Computer ,2021-06-22T04:00:00+00:00,1090000.0,541000.0,600000.0,665090.0
11340000013,Caldari Navy Missile Guidance Computer,2021-06-22T04:00:00+00:00,776000.0,116000.0,600000.0,836405.0
11340000021,'Hook' Missile Guidance Computer ,2021-06-22T04:00:00+00:00,13300000.0,7660000.0,9600000.0,9507993.0
11347000004,MK3 Warp Scrambler,2021-06-22T04:00:00+00:00,47600.0,14100.0,24999.0,25000.0
11347000006,MK5 Warp Scrambler,2021-06-22T04:00:00+00:00,119000.0,83700.0,117556.0,120266.0
11347000008,MK7 Warp Scrambler,2021-06-22T04:00:00+00:00,893000.0,116000.0,788888.0,210487.0
11347000010,MK9 Warp Scrambler,2021-06-22T04:00:00+00:00,640000.0,21900.0,399999.0,152182.0
11347000012,'Interruptive' Warp Scrambler ,2021-06-22T04:00:00+00:00,727000.0,565000.0,575000.0,624294.0
11347000013,Caldari Navy Warp Scrambler,2021-05-30T02:00:00+00:00,,500000.0,,500000.0
11347000014,Federation Navy Warp Scrambler,2021-06-22T04:00:00+00:00,1100000.0,993000.0,739999.0,993415.0
11347000015,Republic Fleet Warp Scrambler,2021-06-22T04:00:00+00:00,1100000.0,981000.0,729000.0,1276037.0
11347000017,True Sansha Warp Scrambler,2021-06-03T00:00:00+00:00,,5700000.0,,5700000.0
11347000019,Dread Guristas Warp Scrambler,2021-03-25T12:00:00+00:00,,35000000.0,,35000000.0
11347000020,Shadow Serpentis Warp Scrambler,2021-04-20T11:00:00+00:00,,1.0,,1.0
11347000021,'Predator' Warp Scrambler ,2021-06-22T04:00:00+00:00,8000000000.0,4580000.0,8000000000.0,210000000.0
11348000004,MK3 Tracking Disruptor,2021-06-22T04:00:00+00:00,21600.0,7730.0,11950.0,8125.0
11348000006,MK5 Tracking Disruptor,2021-06-22T04:00:00+00:00,151000.0,29300.0,32000.0,29400.0
11348000008,MK7 Tracking Disruptor,2021-06-22T04:00:00+00:00,119000.0,72800.0,40000.0,74993.0
11348000010,MK9 Tracking Disruptor,2021-06-22T04:00:00+00:00,345000.0,91300.0,129999.0,125537.0
11348000012,'Basic' Tracking Disruptor,2021-06-22T04:00:00+00:00,3310000.0,281000.0,570000.0,284030.0
11348000013,Imperial Navy Tracking Disruptor,2021-06-22T04:00:00+00:00,889000.0,272000.0,165000.0,271826.0
11348000018,True Sansha Tracking Disruptor,2021-01-18T12:00:00+00:00,,3330000.0,,3333333.0
11348000021,'Virus' Tracking Disruptor,2021-06-22T04:00:00+00:00,,2670000.0,,7000000.0
11349000004,MK3 Guidance Disruptor,2021-06-22T04:00:00+00:00,23600.0,6510.0,4250.0,7125.0
11349000006,MK5 Guidance Disruptor,2021-06-22T04:00:00+00:00,187000.0,27100.0,98000.0,28723.0
11349000008,MK7 Guidance Disruptor,2021-06-22T04:00:00+00:00,96300.0,43100.0,42000.0,55938.0
11349000010,MK9 Guidance Disruptor,2021-06-22T04:00:00+00:00,313000.0,33800.0,99900.0,40000.0
11349000012,'Basic' Guidance Disruptor,2021-06-22T04:00:00+00:00,397000.0,191000.0,225000.0,263678.0
11349000013,Caldari Navy Guidance Disruptor,2021-06-22T04:00:00+00:00,563000.0,23700.0,100000.0,111865.0
11349000021,'Virus' Guidance Disruptor,2021-06-22T04:00:00+00:00,,4000000.0,,4000000.0
11501000002,MK1 Gyrostabilizer,2021-06-22T04:00:00+00:00,36700.0,2270.0,7000.0,2502.0
11501000004,MK3 Gyrostabilizer,2021-06-22T04:00:00+00:00,45200.0,874.0,35000.0,2500.0
11501000006,MK5 Gyrostabilizer,2021-06-22T04:00:00+00:00,223000.0,15400.0,69999.0,58531.0
11501000008,MK7 Gyrostabilizer,2021-06-22T04:00:00+00:00,439000.0,117000.0,140000.0,130066.0
11501000010,MK9 Gyrostabilizer,2021-06-22T04:00:00+00:00,348000.0,70600.0,200000.0,210426.0
11501000012,Basic Gyrostabilizer,2021-06-22T04:00:00+00:00,1330000.0,376000.0,999999.0,694458.0
11501000013,Republic Fleet Gyrostabilizer,2021-06-22T04:00:00+00:00,2970000.0,1160000.0,2500000.0,3050837.0
11501000017,Domination Gyrostabilizer,2021-06-22T04:00:00+00:00,,2690000.0,,2686452.0
11501000021,'Rebirth' Gyrostabilizer,2021-06-22T04:00:00+00:00,6190000.0,2860000.0,5900000.0,5982208.0
11501000024,Gistum C-Type Gyrostabilizers,2021-06-22T04:00:00+00:00,24700000.0,16300000.0,21500000.0,21608128.0
11502000006,MK5 Damage Control,2021-06-22T04:00:00+00:00,544000.0,162000.0,489000.0,231122.0
11502000008,MK7 Damage Control,2021-06-22T04:00:00+00:00,923000.0,199000.0,452024.0,459719.0
11502000010,MK9 Damage Control,2021-06-22T04:00:00+00:00,866000.0,486000.0,500000.0,485678.0
11502000012,Basic Damage Control,2021-06-22T04:00:00+00:00,1610000.0,498000.0,610000.0,683120.0
11502000013,Imperial Navy Damage Control,2021-06-22T04:00:00+00:00,744000.0,397000.0,484500.0,474761.0
11502000014,Federation Navy Damage Control,2021-06-22T04:00:00+00:00,759000.0,330000.0,350000.0,388192.0
11502000017,Shadow Serpentis Damage Control,2021-04-16T19:00:00+00:00,,5180000.0,,5179184.0
11502000018,Sentient Damage Control,2021-03-23T18:00:00+00:00,,20000.0,,20000.0
11502000021,All-round Damage Control,2021-06-22T04:00:00+00:00,7160000.0,4110000.0,6000000.0,4600000.0
11503000001,Civilian Small Armor Repairer,2021-06-22T04:00:00+00:00,1620.0,1.0,1500.0,
11503000002,MK1 Small Armor Repairer,2021-06-22T04:00:00+00:00,3550.0,850.0,379.0,850.0
11503000004,MK3 Small Armor Repairer,2021-06-22T04:00:00+00:00,9120.0,2500.0,1700.0,2501.0
11503000006,MK5 Small Armor Repairer,2021-06-22T04:00:00+00:00,22300.0,9920.0,4999.0,9921.0
11503000008,MK7 Small Armor Repairer,2021-06-22T04:00:00+00:00,22500.0,15400.0,9000.0,15407.0
11503000010,MK9 Small Armor Repairer,2021-06-22T04:00:00+00:00,30900.0,10000.0,14000.0,
11503000012,Gorget Small Armor Repairer,2021-06-22T04:00:00+00:00,1220000.0,20300.0,999999.0,30500.0
11503000013,Imperial Navy Small Armor Repairer,2021-06-22T04:00:00+00:00,430000.0,119000.0,380000.0,126041.0
11503000014,Federation Navy Small Armor Repairer,2021-06-22T04:00:00+00:00,429000.0,102000.0,302647.0,143057.0
11503000017,Dark Blood Small Armor Repairer,2020-11-30T19:00:00+00:00,,300000.0,,300000.0
11503000018,Shadow Serpentis Small Armor Repairer,2021-04-16T19:00:00+00:00,,408000.0,,407895.0
11503000021,'Knight' Small Armor Repairer ,2021-06-22T04:00:00+00:00,1480000.0,422000.0,1000000.0,548387.0
11503000024,Corpii C-Type Small Armor Repairer,2021-06-22T04:00:00+00:00,4620000.0,2600000.0,3888888.0,3000000.0
